человеческий#1;a;относящийся к человеку;человеческая жизнь, человеческая жертва, человеческая кровь;100;human – (relating to a person);XPOS_Near_Synonym;человек#1
женский#1;a;относящийся к женщине;женская рука, женский голос, женское имя;20;feminine – (associated with women and not with men);XPOS_Near_Synonym;женщина#1
бабский#1_разг;a;относящийся к бабе ;бабская юбка;0,5;;XPOS_Near_Synonym;баба#1_разг 
детский#1;a;относящийся к ребенку (детям);детский голос, детский хор, детский труд;4;infantile – (of or relating to infants or infancy);XPOS_Near_Synonym;дети#1
подростковый#1;a;относящийся к подростку;подростковая группировка, подростковый невроз;2;adolescent – (relating to or peculiar to or suggestive of an adolescent);XPOS_Near_Synonym;подросток#1
мужской#1;a;относящийся к мужчине;мужской голос, мужская компания;20;masculine – (associated with men and not with women);XPOS_Near_Synonym;мужчина#1
мужицкий#1_разг | мужичий#1_разг;a;относящийся к мужику;мужицкий вес;0,2;;XPOS_Near_Synonym;мужик#1_разг
мальчишеский#1 | мальчишечий#1;a;относящийся к мальчишке;мальчишеский голос, мальчишеская компания;1;juvenile – (of or relating to or characteristic of or appropriate for children or young people);XPOS_Near_Synonym;мальчишка#1
девичий#1 | девический#1;a;относящийся к девушке;девичья улыбка, девичьи глаза, девичий голос;5;;XPOS_Near_Synonym;девушка#1 | девица#2
стариковский#1;a;относящийся к старику;стариковский голос;1;;XPOS_Near_Synonym;старик#1 
старушечий#1;a;относящийся к старухе;старушечий голос;0,3;;XPOS_Near_Synonym;старуха#1_разг
по-стариковски#1;b;как делает старик;задремал по-стариковски;0,3;;XPOS_Near_Synonym;старик#1 
по-бабьи#1_разг;b;как делает баба;плакать по-бабьи;0,3;;XPOS_Near_Synonym;баба#1_разг 
по-женски#1;b;как делает женщина;поют по-женски;0,5;womanly, feminine – (befitting or characteristic of a woman especially a mature woman);XPOS_Near_Synonym;женщина#1
по-взрослому#1;b;как делает взрослый;разодета по-взрослому;0,5;;XPOS_Near_Synonym;взрослый#1
по-детски#;b;как делают дети;рассматривать по-детски;2;childishly – (in a childlike manner);XPOS_Near_Synonym;дети#1
по-мальчишески#;b;как делает мальчишка;заплакал по-мальчишески;0,5;boyish, boylike, schoolboyish – (befitting or characteristic of a young boy);XPOS_Near_Synonym;мальчишка#1
по-младенчески#;b;как делает младенец;хныкал по-младенчески;0,1;;XPOS_Near_Synonym;младенец#1
по-мужски#;b;как делает мужчина;острижен по-мужски;0,3;male, manful, manlike, manly, virile – (characteristic of a man);XPOS_Near_Synonym;мужчина#1
